"","player_name","player_age","player_pos","team_name","minutes_played","contract_until"
"1","Alan Uryga",30,"Centre-Back","Wisla Kraków",1139,"30.06.2026"
"2","Ángel Baena",23,"Right Winger","Wisla Kraków",752,"20.06.2025"
"3","Ángel Rodado",27,"Centre-Forward","Wisla Kraków",1200,"30.06.2027"
"4","Anton Chichkan",29,"Goalkeeper","Wisla Kraków",810,"30.06.2025"
"5","Artur Jedrzejczyk",36,"Centre-Back","Legia Warszawa",446,"30.06.2025"
"6","Bartosz Jaroch",29,"Right-Back","Wisla Kraków",1051,"30.06.2025"
"7","Bartosz Kapustka",27,"Attacking Midfield","Legia Warszawa",912,"30.06.2026"
"8","Bartosz Talar",21,"Right Winger","Wisla Kraków",0,"30.06.2026"
"9","Blaz Kramer",28,"Centre-Forward","Legia Warszawa",659,"30.06.2025"
"10","Claude Gonçalves",30,"Defensive Midfield","Legia Warszawa",935,"30.06.2027"
"11","Dawid Olejarka",22,"Attacking Midfield","Wisla Kraków",0,"30.06.2026"
"12","Dawid Szot",23,"Right-Back","Wisla Kraków",0,"30.06.2025"
"13","Enis Fazlagic",24,"Defensive Midfield","Wisla Kraków",0,"30.06.2026"
"14","Frederico Duarte",25,"Attacking Midfield","Wisla Kraków",268,"30.06.2026"
"15","Gabriel Kobylak",22,"Goalkeeper","Legia Warszawa",135,"30.06.2027"
"16","Giannis Kiakos",26,"Left-Back","Wisla Kraków",378,"30.06.2025"
"17","Igor Lasicki",29,"Centre-Back","Wisla Kraków",152,"30.06.2025"
"18","Igor Sapala",28,"Defensive Midfield","Wisla Kraków",234,"30.06.2025"
"19","Igor Strzalek",20,"Attacking Midfield","Legia Warszawa",46,"30.06.2025"
"20","Igor Strzalek",20,"Attacking Midfield","Legia Warszawa",46,"30.06.2025"
"21","Jakub Adkonis",17,"Defensive Midfield","Legia Warszawa",33,"30.06.2026"
"22","Jakub Krzyzanowski",18,"Left-Back","Wisla Kraków",23,"30.06.2025"
"23","Jakub Stepak",18,"Goalkeeper","Wisla Kraków",0,"30.06.2026"
"24","Jakub Zewlakow",17,"Attacking Midfield","Legia Warszawa",16,"30.06.2027"
"25","James Igbekeme",29,"Central Midfield","Wisla Kraków",63,"30.06.2025"
"26","Jan Leszczynski",17,"Centre-Back","Legia Warszawa",0,"30.06.2026"
"27","Jan Ziolkowski",19,"Centre-Back","Legia Warszawa",434,"30.06.2025"
"28","Jean-Pierre Nsame",31,"Centre-Forward","Legia Warszawa",143,"30.06.2025"
"29","Jesús Alfaro",33,"Left Winger","Wisla Kraków",49,"30.06.2025"
"30","Jordan Majchrzak",19,"Centre-Forward","Legia Warszawa",92,"-"
"31","Joseph Colley",25,"Centre-Back","Wisla Kraków",437,"30.06.2025"
"32","Juergen Elitim",25,"Defensive Midfield","Legia Warszawa",0,"30.06.2026"
"33","Jurgen Çelhaka",23,"Defensive Midfield","Legia Warszawa",167,"30.06.2025"
"34","Kacper Chodyna",25,"Right Midfield","Legia Warszawa",270,"30.06.2028"
"35","Kacper Duda",20,"Defensive Midfield","Wisla Kraków",0,"30.06.2025"
"36","Kacper Skrobanski",20,"Centre-Back","Wisla Kraków",0,"30.06.2025"
"37","Kacper Tobiasz",21,"Goalkeeper","Legia Warszawa",1035,"30.06.2026"
"38","Kamil Broda",23,"Goalkeeper","Wisla Kraków",390,"30.06.2026"
"39","Karol Dziedzic",19,"Defensive Midfield","Wisla Kraków",93,"30.06.2026"
"40","Kuba Wisniewski",20,"Right-Back","Wisla Kraków",28,"30.06.2025"
"41","Lukasz Zwolinski",31,"Centre-Forward","Wisla Kraków",355,"30.06.2026"
"42","Luquinhas",27,"Attacking Midfield","Legia Warszawa",847,"30.06.2025"
"43","Marc Carbó",30,"Defensive Midfield","Wisla Kraków",1010,"30.06.2026"
"44","Marc Gual",28,"Centre-Forward","Legia Warszawa",714,"30.06.2026"
"45","Marcel Mendes-Dudzinski",19,"Goalkeeper","Legia Warszawa",0,"30.05.2028"
"46","Marco Burch",23,"Centre-Back","Legia Warszawa",0,"30.06.2026"
"47","Mariusz Kutwa",20,"Defensive Midfield","Wisla Kraków",426,"30.06.2026"
"48","Mateusz Mlynski",23,"Right Winger","Wisla Kraków",127,"30.06.2025"
"49","Mateusz Szczepaniak",17,"Right Midfield","Legia Warszawa",34,"-"
"50","Maxi Oyedele",19,"Defensive Midfield","Legia Warszawa",0,"30.06.2027"
"51","Migouel Alfarela",26,"Centre-Forward","Legia Warszawa",362,"30.06.2027"
"52","Olivier Sukiennicki",21,"Attacking Midfield","Wisla Kraków",962,"30.06.2026"
"53","Patryk Gogol",21,"Attacking Midfield","Wisla Kraków",566,"30.06.2025"
"54","Patryk Kun",29,"Left Midfield","Legia Warszawa",192,"30.06.2026"
"55","Patryk Letkiewicz",18,"Goalkeeper","Wisla Kraków",0,"30.06.2025"
"56","Pawel Wszolek",32,"Right Midfield","Legia Warszawa",853,"30.06.2025"
"57","Piotr Starzynski",20,"Left Winger","Wisla Kraków",376,"30.06.2026"
"58","Radovan Pankov",29,"Centre-Back","Legia Warszawa",653,"30.06.2026"
"59","Rafal Augustyniak",30,"Centre-Back","Legia Warszawa",780,"30.06.2025"
"60","Rafal Mikulec",27,"Left-Back","Wisla Kraków",1105,"30.06.2026"
"61","Ramil Mustafaev",20,"Right Midfield","Legia Warszawa",0,"30.06.2025"
"62","Rúben Vinagre",25,"Left Midfield","Legia Warszawa",850,"30.06.2025"
"63","Ryoya Morishita",27,"Right Midfield","Legia Warszawa",584,"31.12.2024"
"64","Sergio Barcia",23,"Centre-Back","Legia Warszawa",699,"30.06.2027"
"65","Steve Kapuadi",26,"Centre-Back","Legia Warszawa",533,"30.06.2026"
"66","Tamás Kiss",23,"Left Winger","Wisla Kraków",563,"30.06.2026"
"67","Tomas Pekhart",35,"Centre-Forward","Legia Warszawa",403,"30.06.2025"
"68","Wiktor Biedrzycki",27,"Centre-Back","Wisla Kraków",574,"30.06.2026"
"69","Wojciech Banasik",18,"Goalkeeper","Legia Warszawa",0,"-"
"70","Wojciech Urbanski",19,"Attacking Midfield","Legia Warszawa",43,"30.06.2025"
